WiFi_A,WiFi_B,WiFi_C,Location
-60,NM,-58,0
-56,NM,-63,0
-58,NM,-60,0
-62,-91,-60,0
-60,NM,-62,0
-54,-86,-70,0
-63,NM,-70,0
-59,NM,-61,0
-61,NM,-64,0
-59,NM,-65,0
-58,-85,-59,0
-58,NM,-60,0
-59,NM,-59,0
-62,NM,-62,0
-61,NM,-70,0
-66,-89,-66,1
-70,NM,-71,1
-63,-87,-72,1
-70,-85,-64,1
-73,-85,-67,1
-64,-85,-69,1
-71,NM,-66,1
-66,NM,-70,1
-72,NM,-65,1
-70,-87,-67,1
-69,-85,-73,1
-73,NM,-65,1
-74,-80,-66,1
-64,NM,-62,1
-71,NM,-72,1
-70,-81,-70,2
-80,-80,-74,2
-79,-88,-71,2
-72,NM,-71,2
-75,-80,-74,2
-72,-81,-66,2
-76,-83,-70,2
-73,-78,-78,2
-77,-84,-73,2
-70,-83,-75,2
-77,NM,-72,2
-73,-81,NM,2
-72,-83,NM,2
-70,-85,-70,2
-78,-82,-76,2
-82,-81,-73,3
-78,-74,-78,3
-82,-78,-78,3
-77,-76,-72,3
-89,-76,-74,3
-77,-76,-72,3
-75,-78,-78,3
-76,-79,-77,3
-77,-83,-78,3
-77,-71,-74,3
-83,-77,-74,3
-80,-76,-73,3
-75,-78,-71,3
-83,-79,-78,3
-80,-73,-78,3
NM,-72,-85,4
NM,-71,NM,4
NM,-69,NM,4
NM,-74,-78,4
NM,-67,NM,4
NM,-71,NM,4
NM,-64,NM,4
NM,-68,NM,4
NM,-65,-86,4
NM,-67,NM,4
NM,-73,NM,4
NM,-74,NM,4
NM,-65,-86,4
NM,-73,-85,4
NM,-74,-83,4
